,tp,tn,fp,fn,accuracy,precision,recall,f1
logistic_regression,245.0,359.0,45.0,42.0,0.8740955137481908,0.8448275862068966,0.8536585365853658,0.8492201039861352
5nn,201.0,337.0,67.0,86.0,0.7785817655571635,0.75,0.7003484320557491,0.7243243243243243
undefined,244.0,354.0,50.0,43.0,0.8654124457308249,0.8299319727891157,0.8501742160278746,0.8399311531841651
LR,245.0,359.0,45.0,42.0,0.8740955137481908,0.8448275862068966,0.8536585365853658,0.8492201039861352
KNN,201.0,337.0,67.0,86.0,0.7785817655571635,0.75,0.7003484320557491,0.7243243243243243
DT,190.0,297.0,107.0,97.0,0.7047756874095513,0.6397306397306397,0.662020905923345,0.6506849315068494
SVM,244.0,354.0,50.0,43.0,0.8654124457308249,0.8299319727891157,0.8501742160278746,0.8399311531841651
randomForest,211.0,304.0,100.0,76.0,0.7452966714905933,0.6784565916398714,0.735191637630662,0.705685618729097
C-Support SVC,244.0,354.0,50.0,43.0,0.8654124457308249,0.8299319727891157,0.8501742160278746,0.8399311531841651
Linear-Support SVC,247.0,358.0,46.0,40.0,0.8755426917510853,0.8430034129692833,0.8606271777003485,0.8517241379310344
Nu-Support SVC,239.0,353.0,51.0,48.0,0.8567293777134588,0.8241379310344827,0.8327526132404182,0.82842287694974
