,tp,tn,fp,fn,accuracy,precision,recall,f1
LR,268.0,391.0,45.0,46.0,0.8786666666666667,0.8562300319488818,0.8535031847133758,0.8548644338118022
KNN,221.0,402.0,34.0,93.0,0.8306666666666667,0.8666666666666667,0.7038216560509554,0.7768014059753954
DT,202.0,337.0,99.0,112.0,0.7186666666666667,0.6710963455149501,0.643312101910828,0.6569105691056911
SVM,271.0,381.0,55.0,43.0,0.8693333333333333,0.8312883435582822,0.8630573248407644,0.846875
C-Support SVC,271.0,381.0,55.0,43.0,0.8693333333333333,0.8312883435582822,0.8630573248407644,0.846875
Linear-Support SVC,269.0,384.0,52.0,45.0,0.8706666666666667,0.838006230529595,0.8566878980891719,0.847244094488189
Nu-Support SVC,271.0,383.0,53.0,43.0,0.872,0.8364197530864198,0.8630573248407644,0.8495297805642634
AdaBoost,240.0,361.0,75.0,74.0,0.8013333333333333,0.7619047619047619,0.7643312101910829,0.7631160572337043
BaggingClassifier,252.0,315.0,121.0,62.0,0.7559999999999999,0.6756032171581771,0.8025477707006371,0.7336244541484717
RandomForest,240.0,369.0,67.0,74.0,0.812,0.7817589576547231,0.7643312101910829,0.7729468599033815
