,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
Baseline,149.0,255.0,181.0,165.0,0.5386666666666666,0.4515151515151515,0.4745222929936306,0.4627329192546584,0.5296923391573658
KNN,220.0,384.0,52.0,94.0,0.8053333333333333,0.8088235294117647,0.7006369426751592,0.7508532423208191,0.7906854438146441
LR,270.0,392.0,44.0,44.0,0.8826666666666667,0.8598726114649682,0.8598726114649682,0.8598726114649682,0.8794775901361538
C-Support SVC,96.0,436.0,0.0,218.0,0.7093333333333334,1.0,0.3057324840764331,0.4682926829268293,0.6528662420382165
Nu-Support SVC,252.0,408.0,28.0,62.0,0.88,0.9,0.8025477707006371,0.8484848484848485,0.8691637936071993
Linear-Support SVC,245.0,367.0,69.0,69.0,0.816,0.7802547770700637,0.7802547770700637,0.7802547770700637,0.8109989481680593
DT,270.0,381.0,55.0,44.0,0.868,0.8307692307692308,0.8598726114649682,0.8450704225352113,0.8668629112370713
AdaBoost,275.0,378.0,58.0,39.0,0.8706666666666667,0.8258258258258259,0.8757961783439491,0.8500772797527048,0.8713843277040847
BaggingClassifier,284.0,387.0,49.0,30.0,0.8946666666666667,0.8528528528528528,0.9044585987261148,0.8778979907264296,0.8960366388125987
RandomForest,278.0,391.0,45.0,36.0,0.892,0.8606811145510835,0.8853503184713376,0.8728414442700156,0.8910696546485128
Gaussian NB,271.0,411.0,25.0,43.0,0.9093333333333332,0.9155405405405406,0.8630573248407644,0.8885245901639345,0.90285893764974
Bernoulli NB,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Multinomial NB,203.0,342.0,94.0,111.0,0.7266666666666667,0.6835016835016835,0.6464968152866242,0.6644844517184942,0.7154502425056973
Complement NB,204.0,342.0,94.0,110.0,0.728,0.6845637583892618,0.6496815286624203,0.6666666666666667,0.7170425991935955
MLP,276.0,354.0,82.0,38.0,0.84,0.770949720670391,0.8789808917197452,0.8214285714285714,0.8454537486121662
KNNTuned,224.0,394.0,42.0,90.0,0.8240000000000001,0.8421052631578947,0.7133757961783439,0.7724137931034484,0.8085227604744931
LRTuned,268.0,395.0,41.0,46.0,0.884,0.8673139158576052,0.8535031847133758,0.8603531300160513,0.8797332437328347
DTTuned,267.0,368.0,68.0,47.0,0.8466666666666667,0.7970149253731343,0.8503184713375797,0.8228043143297379,0.8471775842926431
C-Support SVC Tuned,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Nu-Support SVC Tuned,252.0,408.0,28.0,62.0,0.88,0.9,0.8025477707006371,0.8484848484848485,0.8691637936071993
Linear-Support SVC Tuned,268.0,354.0,82.0,46.0,0.8293333333333334,0.7657142857142857,0.8535031847133758,0.8072289156626506,0.8327148951089814
TunedAdaBoost,275.0,378.0,58.0,39.0,0.8706666666666667,0.8258258258258259,0.8757961783439491,0.8500772797527048,0.8713843277040847
RandomForestTuned,282.0,388.0,48.0,32.0,0.8933333333333333,0.8545454545454545,0.8980891719745223,0.8757763975155278,0.8939987144276281
MLPTuned,213.0,399.0,37.0,101.0,0.816,0.852,0.678343949044586,0.7553191489361701,0.7967407818617425
