,tp,tn,fp,fn,accuracy,precision,recall,f1,auc
Baseline,112.0,264.0,172.0,202.0,0.5013333333333333,0.39436619718309857,0.35668789808917195,0.3745819397993311,0.4810962426225677
KNN,215.0,391.0,45.0,99.0,0.8079999999999999,0.8269230769230769,0.6847133757961783,0.7491289198606271,0.7907511833109331
LR,274.0,400.0,36.0,40.0,0.8986666666666666,0.8838709677419355,0.8726114649681529,0.8782051282051283,0.8950213288143517
C-Support SVC,144.0,435.0,1.0,170.0,0.772,0.993103448275862,0.4585987261146497,0.6274509803921569,0.7281525740664991
Nu-Support SVC,256.0,408.0,28.0,58.0,0.8853333333333333,0.9014084507042254,0.8152866242038217,0.8561872909698998,0.8755332203587917
Linear-Support SVC,282.0,319.0,117.0,32.0,0.8013333333333333,0.7067669172932329,0.8980891719745223,0.7910238429172511,0.8148702740606557
DT,206.0,343.0,93.0,108.0,0.732,0.6889632107023411,0.6560509554140127,0.6721044045676997,0.7213741015602174
AdaBoost,240.0,362.0,74.0,74.0,0.8026666666666666,0.7643312101910829,0.7643312101910829,0.7643312101910829,0.7973032197744405
BaggingClassifier,243.0,322.0,114.0,71.0,0.7533333333333333,0.6806722689075629,0.7738853503184714,0.7242921013412817,0.7562087302051071
RandomForest,242.0,370.0,66.0,72.0,0.816,0.7857142857142857,0.7707006369426752,0.7781350482315113,0.8096622450768423
Gaussian NB,214.0,394.0,42.0,100.0,0.8106666666666666,0.8359375,0.6815286624203821,0.7508771929824561,0.7925991935955123
Bernoulli NB,0.0,436.0,0.0,314.0,0.5813333333333334,0.0,0.0,0.0,0.5
Multinomial NB,271.0,371.0,65.0,43.0,0.856,0.8065476190476191,0.8630573248407644,0.8338461538461538,0.8569873780167124
Complement NB,271.0,371.0,65.0,43.0,0.856,0.8065476190476191,0.8630573248407644,0.8338461538461538,0.8569873780167124
MLP,228.0,383.0,53.0,86.0,0.8146666666666667,0.8113879003558719,0.7261146496815286,0.7663865546218488,0.802277508327003
